,rating,genre,year,score,votes,budget,gross,runtime,month,continent
284,PG_13,Comedy,1999,6.3,9600.0,2500000.0,1955933.0,98.0,December,North_America
285,R,Action,1993,5.6,5400.0,7000000.0,6608687.0,101.0,March,North_America
286,R,Crime,1981,7.4,47000.0,18000000.0,12000000.0,108.0,July,North_America
287,PG,Biography,1988,6.9,17000.0,23000000.0,19652638.0,110.0,August,North_America
288,R,Biography,2001,7.6,246000.0,53000000.0,83282296.0,124.0,April,North_America
289,PG_13,Action,2001,5.9,89000.0,49000000.0,74005691.0,87.0,November,North_America
290,PG_13,Comedy,2014,6.0,133000.0,40000000.0,196710396.0,109.0,April,North_America
291,R,Horror,1993,4.6,3400.0,12000000.0,5086909.0,95.0,December,North_America
292,R,Crime,1999,6.6,33000.0,55000000.0,16649768.0,127.0,March,North_America
293,PG_13,Action,2003,6.7,20000.0,780000.0,1310470.0,90.0,March,North_America
294,R,Comedy,2007,6.8,69000.0,35000000.0,20576198.0,96.0,December,North_America
295,PG,Adventure,2016,6.4,80000.0,140000000.0,195243411.0,117.0,July,North_America
296,PG,Action,2004,6.9,311000.0,100000000.0,347512318.0,131.0,November,North_America
297,PG,Action,1981,6.7,94000.0,28000000.0,54813222.0,127.0,June,Europe
298,PG_13,Action,2013,7.0,618000.0,190000000.0,540455876.0,116.0,June,North_America
299,R,Comedy,1998,6.0,19000.0,15000000.0,46905889.0,111.0,April,North_America
300,R,Comedy,1991,5.8,9100.0,14000000.0,15545943.0,103.0,May,North_America
301,PG,Comedy,2003,2.1,25000.0,12000000.0,4928883.0,81.0,June,North_America
302,R,Comedy,1994,6.9,24000.0,11000000.0,11439193.0,96.0,March,North_America
303,R,Action,2010,6.3,103000.0,32000000.0,18409891.0,111.0,March,North_America
304,R,Adventure,1988,7.3,9100.0,8000000.0,161004.0,111.0,September,North_America
305,R,Drama,1991,6.3,52000.0,19000000.0,174999005.0,99.0,February,North_America
306,PG_13,Drama,2000,7.2,20000.0,20000000.0,27728118.0,124.0,April,North_America
307,R,Drama,2013,3.8,11000.0,250000.0,270185.0,99.0,August,North_America
308,G,Animation,2010,7.6,85000.0,23000000.0,149411550.0,94.0,February,Asia
309,PG_13,Drama,2011,6.9,113000.0,38000000.0,117094902.0,120.0,April,North_America
310,R,Action,2007,4.5,22000.0,15000000.0,146741.0,100.0,October,North_America
311,PG,Comedy,1994,3.5,32000.0,6200000.0,126247.0,83.0,August,North_America
312,R,Action,2020,6.1,190000.0,84500000.0,201858461.0,109.0,February,North_America
313,R,Drama,1999,5.2,20000.0,64000000.0,74608570.0,133.0,October,North_America
314,PG_13,Action,1996,5.6,25000.0,30000000.0,57400547.0,95.0,April,North_America
315,PG_13,Action,1993,6.2,45000.0,13000000.0,27979399.0,84.0,February,North_America
316,R,Crime,2010,6.2,47000.0,25000000.0,8307227.0,103.0,November,North_America
317,R,Action,1995,5.9,6600.0,30000000.0,2193982.0,98.0,December,North_America
318,PG_13,Drama,1993,7.7,221000.0,11000000.0,10032765.0,118.0,March,North_America
